Player1,20,15,5,100,10.5
Player2,50,30,20,250,35.0
Player3,35,25,10,150,20.7
Player4,42,28,14,190,30.3
Player5,10,5,5,60,5.5
Player6,25,18,7,130,15.2
Player7,55,33,22,300,37.5
Player8,60,45,15,400,40.0
Player9,20,10,10,90,10.0
Player10,38,25,13,200,25.1
Player11,32,22,10,180,23.7
Player12,40,30,10,210,28.5
Player13,47,29,18,230,31.0
Player14,15,8,7,75,8.0
Player15,22,12,10,110,11.3
Player16,30,20,10,150,18.9
Player17,48,32,16,250,32.0
Player18,60,50,10,420,43.0
Player19,35,20,15,160,21.8
Player20,25,15,10,120,13.5
Player21,33,21,12,170,22.1
Player22,45,35,10,260,30.5
Player23,37,27,10,190,26.3
Player24,50,40,10,300,36.0
Player25,40,30,10,230,28.7
Player26,28,18,10,140,17.2
Player27,34,24,10,180,23.4
Player28,39,29,10,210,27.0
